date,close,open
1-May-12,2435.570068,12441.27
30-Apr-12,2429.550049,12471.32
27-Apr-12,2427.610107,12463.87
26-Apr-12,2415.850098,12421.25
25-Apr-12,2401.179932,12343.22
24-Apr-12,2413.51001,12407.63
23-Apr-12,2431.219971,12510.57
20-Apr-12,2425.570068,12501.52
19-Apr-12,2415.290039,12463.15
18-Apr-12,2423.159912,12474.52
17-Apr-12,2453.429932,12480.69
16-Apr-12,2434.25,12398.01
13-Apr-12,2438.199951,12423.49
12-Apr-12,2443.830078,12416.6
11-Apr-12,2459.330078,12442.16
10-Apr-12,2484.850098,12514.98
9-Apr-12,2502.820068,12556.08
5-Apr-12,2497.780029,12582.59
4-Apr-12,2479.419922,12577.15
3-Apr-12,2443.209961,12567.93
2-Apr-12,2451.310059,12565.53
30-Mar-12,2431.070068,12477.16
29-Mar-12,2431.409912,12533.8
28-Mar-12,2466.280029,12621.77
27-Mar-12,2434.23999,12502.56
26-Mar-12,2435.48999,12487.02
